,percent_broken,percent_fail_runs,rul_score,mse
cmapss_one2three_jan,0.8,0.6,304.4651953125,52.99235534667969
cmapss_one2three_jan,0.8,0.6,182.4884765625,49.699127197265625
cmapss_one2three_jan,0.8,0.6,508.01453125,55.494110107421875
cmapss_one2three_jan,0.8,0.4,183.98638671875,42.667232513427734
cmapss_one2three_jan,0.8,0.4,165.3025,46.068092346191406
cmapss_one2three_jan,0.8,0.4,520.9038671875,57.08821487426758
cmapss_one2three_jan,0.8,0.2,193.086875,51.798858642578125
cmapss_one2three_jan,0.8,0.2,279.21375,48.80976104736328
cmapss_one2three_jan,0.8,0.2,545.7865625,57.62236022949219
cmapss_four2two_dadv,0.0,1.0,75.28492247828186,42.945465087890625
cmapss_four2two_dadv,0.0,1.0,72.8421060569498,28.633089065551758
cmapss_four2two_dadv,0.0,1.0,73.40989985521236,30.37633514404297
cmapss_four2two_dadv,0.0,0.8,75.26850567084942,42.94560623168945
cmapss_four2two_dadv,0.0,0.8,72.84222671332046,28.214069366455078
cmapss_four2two_dadv,0.0,0.8,73.43621802606178,34.34357452392578
cmapss_four2two_dadv,0.0,0.6,75.27950048262548,42.94550704956055
cmapss_four2two_dadv,0.0,0.6,72.84106539575289,30.14710235595703
cmapss_four2two_dadv,0.0,0.6,73.3543149734556,27.591543197631836
cmapss_four2two_dadv,0.0,0.4,75.28618182915058,42.94544982910156
cmapss_four2two_dadv,0.0,0.4,72.84147261100387,33.050968170166016
cmapss_four2two_dadv,0.0,0.4,73.23286679536679,42.98406982421875
cmapss_four2two_dadv,0.0,0.2,75.29394908301158,35.404296875
cmapss_four2two_dadv,0.0,0.2,72.84086932915058,26.133413314819336
cmapss_four2two_dadv,0.0,0.2,73.40270571911196,34.53371047973633
cmapss_four2two_dadv,0.2,1.0,75.29007299710425,42.94542694091797
cmapss_four2two_dadv,0.2,1.0,40.15924378619691,27.573230743408203
cmapss_four2two_dadv,0.2,1.0,40.31973938223938,35.13945770263672
cmapss_four2two_dadv,0.2,0.8,75.28444739382239,42.94548416137695
cmapss_four2two_dadv,0.2,0.8,72.84132179054055,37.028282165527344
cmapss_four2two_dadv,0.2,0.8,61.156167048745175,35.16569900512695
cmapss_four2two_dadv,0.2,0.6,75.29907697876448,42.945335388183594
cmapss_four2two_dadv,0.2,0.6,72.8403565395753,43.00251770019531
cmapss_four2two_dadv,0.2,0.6,73.34121621621621,42.98011016845703
cmapss_four2two_dadv,0.2,0.4,70.11530978523166,31.48001480102539
cmapss_four2two_dadv,0.2,0.4,53.680256847249034,33.932247161865234
cmapss_four2two_dadv,0.2,0.4,47.37745837355212,30.687620162963867
cmapss_four2two_dadv,0.2,0.2,75.30096223455598,42.945316314697266
cmapss_four2two_dadv,0.2,0.2,72.84067326254826,43.002498626708984
cmapss_four2two_dadv,0.2,0.2,41.294763513513516,35.861324310302734
cmapss_four2two_dadv,0.4,1.0,75.27334700772201,39.05683898925781
cmapss_four2two_dadv,0.4,1.0,72.83945161679537,43.00257110595703
cmapss_four2two_dadv,0.4,1.0,73.25874758687259,42.98310470581055
cmapss_four2two_dadv,0.4,0.8,75.28002835424711,42.94552230834961
cmapss_four2two_dadv,0.4,0.8,72.83886341698842,42.056060791015625
cmapss_four2two_dadv,0.4,0.8,73.35999336389962,42.979461669921875
cmapss_four2two_dadv,0.4,0.6,75.27683850144787,42.9455451965332
cmapss_four2two_dadv,0.4,0.6,72.83810177364865,43.002647399902344
cmapss_four2two_dadv,0.4,0.6,73.3926459942085,42.978370666503906
cmapss_four2two_dadv,0.4,0.4,75.28374607866796,42.94549560546875
cmapss_four2two_dadv,0.4,0.4,72.57977648407336,37.258888244628906
cmapss_four2two_dadv,0.4,0.4,73.37629705598455,42.97891616821289
cmapss_four2two_dadv,0.4,0.2,75.27692145270271,42.945556640625
cmapss_four2two_dadv,0.4,0.2,72.84001719353282,39.773109436035156
cmapss_four2two_dadv,0.4,0.2,54.72207559121622,36.566688537597656
